Customer ID,Purchase Date,Product Category,Product Price,Quantity,Total Purchase Amount,Payment Method,Customer Age,Returns,Customer Name,Age,Gender,Churn
48828.0,2020-10-09 01:40:41,Electronics,480,3,4312,Cash,31,0.0,Mary Wilson,31,Female,1
3715.0,2020-05-01 08:14:07,Electronics,74,1,4232,Crypto,45,0.0,Mrs. Tonya Rodriguez,45,Male,0
37109.0,2020-04-03 05:28:17,Home,449,2,992,Cash,50,1.0,Justin Swanson,50,Female,1
,,,364,3,2240,Credit Card,52,0.0,Alexa Davis,52,Male,0
21706.0,2022-11-21 08:17:28,Clothing,354,2,416,PayPal,60,1.0,Christopher Archer,60,Male,0
33693.0,2021-09-21 15:40:12,Electronics,384,2,4525,Cash,22,,Mariah Scott,22,Male,0
45452.0,2020-10-25 03:57:18,Electronics,450,1,1958,Crypto,47,,Jamie Martinez,47,Female,1
7795.0,2020-03-21 14:36:25,Books,411,1,3281,Cash,56,0.0,Renee Sanders,56,Female,1
21963.0,2022-09-20 10:35:18,Electronics,458,5,4140,PayPal,39,,Christine Kelley,39,Female,1
39813.0,2020-01-16 21:04:26,Books,375,2,1114,PayPal,60,0.0,Stephanie Barron,60,Female,0
35130.0,2021-12-23 08:02:30,Clothing,420,1,4008,Credit Card,65,1.0,Kenneth Waters,65,Female,0
9406.0,2021-02-13 03:43:24,Books,477,3,3160,PayPal,40,0.0,Norman Johnson,40,Male,0
11975.0,2022-05-22 06:59:51,Electronics,499,2,2451,PayPal,35,1.0,Anthony Mcclain DDS,35,Male,0
20597.0,2021-08-14 00:26:58,Clothing,70,1,4875,Credit Card,45,0.0,Andrew Lewis,45,Male,1
,,,183,4,229,Crypto,34,0.0,Michael Noble,34,Male,0
41644.0,2020-07-27 05:29:48,Books,338,3,3766,PayPal,39,0.0,Robert Campbell,39,Male,0
39045.0,2021-08-07 01:26:38,Clothing,289,4,2918,Credit Card,60,,Vincent Miller,60,Female,0
3734.0,2022-01-16 03:30:01,Clothing,221,2,4325,Crypto,41,0.0,Joshua Long,41,Male,0
8789.0,2022-10-23 13:56:08,Home,394,1,4703,Credit Card,69,1.0,Robert Elliott,69,Male,0
41161.0,2021-05-09 02:44:20,Electronics,273,3,1780,Cash,27,1.0,Kenneth Beck,27,Female,0
190630.0,2020-04-22 19:40:10,Home,3410,20,31360,PayPal,530,,Mario Saunders,530,Male,0
41585.0,2021-01-09 10:00:28,Electronics,206,2,987,PayPal,55,,Mr. Franklin Rice,55,Female,0
13482.0,2022-12-17 10:31:35,Clothing,243,5,3065,PayPal,66,1.0,Jessica Callahan,66,Male,0
46330.0,2021-01-07 07:22:20,Books,57,4,1054,Cash,59,0.0,Mr. Alexander Dunn,59,Female,0
48571.0,2023-02-27 06:30:04,Clothing,65,1,3542,Credit Card,49,0.0,Pamela Turner,49,Male,0
35973.0,2022-09-11 12:59:23,Clothing,403,5,781,Credit Card,64,1.0,Kathryn Edwards,64,Male,0
45611.0,2020-07-14 10:06:58,Electronics,36,2,1504,Cash,60,,Mr. Larry Thompson,60,Male,1
34554.0,2023-06-22 02:15:17,Clothing,166,3,4917,Credit Card,64,,Amy Herman,64,Female,0
29897.0,2020-08-19 09:15:31,Clothing,51,1,3877,Credit Card,67,0.0,Timothy Keller,67,Male,1
,,,255,2,426,Credit Card,24,0.0,Zachary Perry,24,Male,0
3651.0,2021-12-14 13:33:44,Electronics,75,4,1167,PayPal,49,1.0,Brittany Hensley,49,Female,0
,,,146,3,996,PayPal,21,0.0,Nicole Berry,21,Male,0
29115.0,2020-11-14 22:44:05,Electronics,29,4,3231,Credit Card,31,1.0,Nancy Howard,31,Female,0
,,,101,4,2185,Cash,46,1.0,Brandy Jones,46,Male,0
